exp            	set 	LM    	LMW	WER  	SER  
mono           	test	build0	9  	85.93	89.71
tri1           	test	build0	12 	72.68	82.45
tri2a          	test	build0	12 	72.2 	81.24
tri2b          	test	build0	12 	69.32	80.64
tri2b_mmi      	test	build0	11 	69.6 	81.54
tri2b_mmi_b0.05	test	build0	11 	69.19	81.54
tri2b_mpe      	test	build0	11 	67.65	79.73
mono           	test	build2	9  	78.33	82.15
tri1           	test	build2	12 	64.77	76.85
tri2a          	test	build2	14 	64.29	75.64
tri2b          	test	build2	12 	61.04	75.34
tri2b_mmi      	test	build2	11 	60.98	74.28
tri2b_mmi_b0.05	test	build2	11 	60.48	74.28
tri2b_mpe      	test	build2	13 	59.97	73.98
